Date,Open,High,Low,Close,Adj Close,Volume
17/6/13,18.450001,18.530001,17.959999,18.09,16.931673,24946300
18/6/13,17.950001,18.08,17.620001,17.83,16.688322,31790400
19/6/13,17.889999,17.950001,17.15,17.200001,16.098663,39085200
20/6/13,16.9,17.27,16.5,16.889999,15.808511,63934700
21/6/13,16.93,16.93,16.4,16.41,15.359246,42577100
24/6/13,15.97,16.25,15.57,15.91,14.891262,40535500
25/6/13,16.1,16.389999,15.87,16.1,15.069098,32074100
26/6/13,16.139999,16.440001,16.08,16.15,15.115895,29858400
27/6/13,16.219999,16.6,16.17,16.379999,15.331167,26451400
28/6/13,16.35,16.35,15.94,16.17,15.134615,33968700
1/7/13,16.35,16.35,15.94,16.120001,15.087817,22732600
2/7/13,16.049999,16.25,15.11,15.39,14.404559,55953200
3/7/13,15.24,15.98,15.15,15.9,14.881902,50191800
4/7/13,16.1,16.17,15.88,15.96,14.938061,23818500
5/7/13,15.81,15.82,14.94,15.15,14.179926,49067400
8/7/13,15.2,15.35,14.97,15,14.039531,22430900
10/7/13,15.18,15.44,15.06,15.25,14.273523,20890800
11/7/13,15.52,15.83,15.25,15.76,14.750867,34049700
12/7/13,15.66,15.92,15.27,15.43,14.441998,23796600
15/7/13,15.45,15.69,15.35,15.5,14.507515,20392700
16/7/13,15.64,15.8,15.47,15.75,14.741508,21047000
17/7/13,15.91,16.200001,15.87,16.059999,15.031658,29311200
18/7/13,16,16.290001,15.91,16.1,15.069098,23440300
19/7/13,16.07,16.1,15.85,15.98,14.95678,18711400
22/7/13,15.97,16.49,15.9,16.299999,15.25629,25517000
23/7/13,16.41,16.66,16.379999,16.41,15.359246,25271000
24/7/13,16.370001,16.549999,16.15,16.389999,15.340527,24012400
25/7/13,16.24,16.879999,16.209999,16.84,15.761713,37212500
29/7/13,16.99,17.059999,16.629999,16.68,15.611959,17729600
30/7/13,16.780001,16.82,16.360001,16.459999,15.406044,22635200
31/7/13,16.33,16.5,16.17,16.290001,15.246931,23703200
1/8/13,16.700001,17.040001,16.6,16.940001,15.855311,31759700
2/8/13,16.870001,17.040001,16.690001,16.809999,15.733634,17726400
5/8/13,16.77,16.870001,16.540001,16.65,15.583879,15018300
6/8/13,16.68,16.700001,16.1,16.280001,15.237571,25592100
7/8/13,16.27,16.459999,16.1,16.25,15.209492,17681900
8/8/13,16.35,16.85,16.200001,16.65,15.583879,25830400
9/8/13,16.74,17.120001,16.52,17.08,15.986345,31884100
12/8/13,17.299999,17.66,16.469999,16.6,15.537082,54624200
13/8/13,16.65,16.66,16.17,16.370001,15.321808,34946200
14/8/13,16.360001,17,16.290001,16.950001,15.86467,53853000
15/8/13,16.700001,17.959999,16.67,17.83,16.688322,81143700
16/8/13,17.76,18.059999,17.42,17.780001,16.641525,37711200
19/8/13,17.450001,18.030001,17.360001,17.83,16.688322,49861800
20/8/13,17.709999,17.85,17.110001,17.129999,16.033144,30368900
21/8/13,17.07,17.780001,17.040001,17.34,16.229698,43315900
22/8/13,17.799999,18.370001,17.629999,18.26,17.090788,52679300
23/8/13,18.120001,18.59,18.120001,18.549999,17.362219,32500500
26/8/13,18.5,18.690001,18.17,18.190001,17.025272,17906800
27/8/13,17.950001,18.049999,17.450001,17.450001,16.332655,29023800
28/8/13,17.51,17.75,17.09,17.16,16.061224,30051100
29/8/13,17.32,17.48,16.85,16.9,15.817872,24162000
30/8/13,17.32,17.48,16.52,16.99,15.902107,38933500
2/9/13,17.15,17.23,16.860001,16.9,15.817872,19051300
3/9/13,16.889999,17.129999,16.68,16.780001,15.705556,31474500
4/9/13,16.629999,16.940001,16.559999,16.85,15.771073,36993600
5/9/13,16.860001,17.809999,16.84,17.540001,16.416893,47992900
6/9/13,17.799999,18,17.459999,17.76,16.622805,30863700
9/9/13,17.77,18.219999,17.77,18.17,17.006552,29932300
10/9/13,18.25,18.540001,18.17,18.34,17.165667,29063300
11/9/13,18.290001,18.540001,18.07,18.25,17.081429,27324600
12/9/13,18.17,18.4,17.75,17.85,16.707043,47880700
13/9/13,17.85,18.27,17.799999,18.129999,16.969112,18359900
16/9/13,18.43,18.719999,18.17,18.450001,17.268625,33961100
17/9/13,18.59,18.6,18.299999,18.530001,17.343502,18948400
18/9/13,18.41,19,18.16,18.9,17.68981,30957700
19/9/13,18.959999,19.309999,18.76,19.16,17.933161,24470200
20/9/13,19.09,19.18,18.780001,18.940001,17.727249,18955300
23/9/13,19.09,19.219999,18.780001,19.15,17.923801,13990200
24/9/13,19.09,19.219999,18.75,18.77,17.568134,18969200
25/9/13,18.73,18.92,18.620001,18.799999,17.59621,17152400
26/9/13,18.82,18.82,18.52,18.59,17.399658,18168900
27/9/13,18.57,18.82,18.440001,18.48,17.296701,19065700
30/9/13,18.57,19.040001,18.34,18.360001,17.184387,32326800
1/10/13,18.530001,18.690001,18.370001,18.66,17.465176,15455100
2/10/13,18.58,18.84,18.540001,18.780001,17.577494,10870500
3/10/13,18.799999,18.83,18.43,18.540001,17.352859,18453900
4/10/13,18.389999,18.68,18.07,18.67,17.474535,27996700
7/10/13,18.57,18.83,18.5,18.620001,17.427738,18500000
8/10/13,18.66,18.77,18.200001,18.309999,17.137587,23379200
9/10/13,18.4,18.459999,17.969999,18.07,16.912954,19516400
10/10/13,18.26,18.35,18.01,18.15,16.987833,22821900
11/10/13,18.15,18.309999,17.99,18.1,16.941034,18833200
14/10/13,18.059999,18.32,17.940001,18.27,17.100149,21569300
15/10/13,18.34,18.48,18.18,18.42,17.240543,27224300
16/10/13,18.469999,18.65,18.16,18.35,17.175026,35018800
17/10/13,18.27,18.530001,18.16,18.209999,17.043989,26905100
18/10/13,18.219999,18.389999,17.83,17.940001,16.791279,28111800
21/10/13,17.99,18.98,17.709999,18.879999,17.671089,51907400
22/10/13,18.959999,19.059999,18.51,18.549999,17.362219,32733500
23/10/13,18.549999,18.85,18.209999,18.33,17.156307,21433300
24/10/13,18.360001,18.57,18.040001,18.24,17.072069,22513200
25/10/13,18.23,18.73,18.200001,18.49,17.306063,30298000
28/10/13,19.42,19.9,19.01,19.889999,18.616419,73626100
29/10/13,19.709999,19.959999,19.33,19.700001,18.438585,33394100
30/10/13,19.83,20.110001,19.16,19.950001,18.672577,54345800
31/10/13,19.959999,20.559999,19.85,20.290001,18.990807,41785200
1/11/13,20.120001,20.35,19.82,19.860001,18.588339,43494000
4/11/13,19.99,20.280001,19.950001,20.219999,18.925287,20508100
5/11/13,20.290001,20.41,20.049999,20.25,18.953367,30093900
6/11/13,20.290001,20.41,20.08,20.41,19.103123,21824900
7/11/13,20.27,20.629999,19.91,20,18.719376,20998800
8/11/13,19.950001,20.07,19.6,19.639999,18.382425,28408100
11/11/13,19.66,20.120001,19.5,20.09,18.803612,22190300
12/11/13,20.059999,20.25,19.450001,19.549999,18.298189,24586900
13/11/13,19.549999,19.99,19.25,19.940001,18.663216,31361100
14/11/13,20,20.5,19.959999,20.450001,19.140562,24679800
18/11/13,20.5,21.440001,20.459999,21.440001,20.067171,45214900
19/11/13,21.299999,21.370001,20.860001,21.110001,19.758301,42654300
21/11/13,20.5,21.129999,20.389999,20.9,19.561747,35845800
22/11/13,20.75,21.200001,20.639999,20.67,19.346474,23810600
